name,type,ownership,city,state,aka,slug
Udaya College of ARTS and Science,affiliated_college,private_unaided,Kanyakumari,Tamil Nadu,1-46272422743,udaya-college-of-arts-and-science
Ultra ARTS and Science College,affiliated_college,private_unaided,Madurai,Tamil Nadu,1-46272422813,ultra-arts-and-science-college
Valluvar College of Science and Management,affiliated_college,private_unaided,Karur,Tamil Nadu,1-46269617091,valluvar-college-of-science-and-management
MARY Matha College of ARTS and Science,affiliated_college,private_unaided,Theni,Tamil Nadu,1-46273398443,mary-matha-college-of-arts-and-science
Dr. N.G.P ARTS and Science College,affiliated_college,private_unaided,Coimbatore,Tamil Nadu,1-46270241761,dr-n-g-p-arts-and-science-college
Government ARTS and Science College Sivakasi,affiliated_college,government,Virudhunagar,Tamil Nadu,1-46272951830,government-arts-and-science-college-sivakasi
Theivanai Ammal College for Women,affiliated_college,private_unaided,Viluppuram,Tamil Nadu,1-46269900860,theivanai-ammal-college-for-women
Apollo ARTS and Science College Chennai,affiliated_college,private_unaided,Kanchipuram,Tamil Nadu,1-46272952379,apollo-arts-and-science-college-chennai
Shikshaa Institute of Advanced Technologies,affiliated_college,private_unaided,Kanchipuram,Tamil Nadu,1-46269684890,shikshaa-institute-of-advanced-technologies
Bharathi Women'S ARTS and Science College,affiliated_college,private_unaided,Viluppuram,Tamil Nadu,1-46270066734,bharathi-women-s-arts-and-science-college
Avichi College of ARTS and Science,affiliated_college,private_unaided,Chennai,Tamil Nadu,1-46273457741,avichi-college-of-arts-and-science
